"video_shortname","Function_name",execution_count,exec_time_avg
"9.571378e+09","gauDerivative",80,1.953125e-04
"9.571378e+09","loadFileYuv",0,NaN
"9.571378e+09","progressbar",1,1.562500e-02
"9.571378e+09","rapique_basic_extractor",432,1.721644e-02
"9.571378e+09","RAPIQUE_spatial_features",16,4.648438e-01
"9.571378e+09","saveFileYuv",0,NaN
"8.562620e+09","calc_RAPIQUE_features",1,1.415625e+01
"8.562620e+09","calc_RAPIQUE_features/deep_learning",8,1.171875e-01
"8.562620e+09","calc_RAPIQUE_features/temporal NSS",8,6.132812e-01
"8.562620e+09","clipValue",24,1.953125e-03
"8.562620e+09","convertRGBToHSI",0,NaN
"8.562620e+09","convertRGBToLAB",16,6.445312e-02
"8.562620e+09","convertRGBToLMS",0,NaN
"8.562620e+09","convertRGBToYuv",0,NaN
"8.562620e+09","convertYuvToRgb",24,5.208333e-03
"8.562620e+09","gauDerivative",80,0
"8.562620e+09","loadFileYuv",0,NaN
"8.562620e+09","progressbar",1,0
"8.562620e+09","rapique_basic_extractor",432,1.790365e-02
"8.562620e+09","RAPIQUE_spatial_features",16,4.775391e-01
"8.562620e+09","saveFileYuv",0,NaN
"1.226245e+10","calc_RAPIQUE_features",1,1.339062e+01
"1.226245e+10","calc_RAPIQUE_features/deep_learning",8,1.289062e-01
"1.226245e+10","calc_RAPIQUE_features/temporal NSS",8,5.878906e-01
"1.226245e+10","clipValue",24,2.604167e-03
"1.226245e+10","convertRGBToHSI",0,NaN
"1.226245e+10","convertRGBToLAB",16,4.003906e-02
"1.226245e+10","convertRGBToLMS",0,NaN
"1.226245e+10","convertRGBToYuv",0,NaN
"1.226245e+10","convertYuvToRgb",24,7.161458e-03
"1.226245e+10","gauDerivative",80,0
"1.226245e+10","loadFileYuv",0,NaN
"1.226245e+10","progressbar",1,0
"1.226245e+10","rapique_basic_extractor",432,1.699942e-02
"1.226245e+10","RAPIQUE_spatial_features",16,4.433594e-01
"1.226245e+10","saveFileYuv",0,NaN
"1.237984e+10","calc_RAPIQUE_features",1,1.226562e+01
"1.237984e+10","calc_RAPIQUE_features/deep_learning",8,8.593750e-02
