SRCC_train,KRCC_train,PLCC_train,RMSE_train,SRCC_test,KRCC_test,PLCC_test,RMSE_test
0.9985807137094925,0.9853961299744433,0.9965637773182592,0.9678645650096429,0.5971153067012398,0.41231126596980255,0.676410577171889,9.381698169744071
0.9998557102662148,0.9960569550930997,0.9999844580230571,0.06666480701881884,0.4348918240012965,0.2961672473867596,0.5032989226233271,10.14874048944296
0.9998609571656252,0.9954728002920774,0.9999793582852607,0.07454970204314629,0.6410339518677579,0.4494773519163763,0.6811513383979676,9.61551535471491
0.9998268523194577,0.9947426067907996,0.9999791895802879,0.07817555117513474,0.7546390081841018,0.5516840882694541,0.736289508996573,7.510548599589558
0.9998557102662148,0.9957648776925885,0.9999793362762971,0.07644636156743986,0.607649299084353,0.44018583042973286,0.6474035970740274,9.196377437564495
0.9998845682129718,0.9963490324936108,0.9999799655591601,0.07695393626366986,0.6016530264970424,0.4262485481997677,0.7325367916807347,7.065741738141821
0.9998635806153303,0.9954728002920774,0.9999770597867133,0.07895106445231337,0.7115306701239771,0.5400696864111498,0.7598611870251837,8.160616750194404
0.9998793213135614,0.9959109163928441,0.9999801972962382,0.0759835951767909,0.5572481970666884,0.3797909407665505,0.5811583419672891,8.982452253240677
0.9998635806153303,0.9954728002920774,0.9999769634590732,0.07789936199193341,0.7531804553925939,0.570267131242741,0.7441970732649927,8.895643348790099
0.9998609571656252,0.9956188389923329,0.9999765539115769,0.0799777842198063,0.6191556599951382,0.44018583042973286,0.6616177636966655,9.599168573541697
0.9999055558106134,0.996641109894122,0.999978409365624,0.07933709823204468,0.6668017178510657,0.5052264808362369,0.6734267034802514,8.316693016309605
0.9998688275147406,0.9962029937933552,0.9999850323666909,0.06756187732308169,0.6363341706506765,0.4448315911730546,0.6512516349064008,7.6185727512273465
0.9806441880751094,0.9188024826579043,0.9726719706447083,2.7990467116884785,0.6334170650676606,0.47038327526132406,0.6528178354360799,8.521079747221364
0.9998320992188681,0.9945965680905441,0.9997434391183089,0.2607905867850474,0.8047159873592092,0.6051103368176539,0.8227391903587261,7.613716202718554
0.9998478399170991,0.9957648776925885,0.9999772442113505,0.07852501709294049,0.63228263511871,0.4518002322880372,0.5716611160168813,9.76722330217189
0.974321674285602,0.8964585615188025,0.9613849499222235,3.3531783045560046,0.7078032574345678,0.5238095238095238,0.7552231091593518,6.962217968152239
0.999805864721816,0.9938663745892662,0.9998339752273323,0.214040028738737,0.6695567620128029,0.4796747967479675,0.7163664231195563,8.089177072012719
0.9989689842658606,0.9870025556772545,0.9977364983685163,0.7923509193974998,0.6168868000972368,0.4448315911730546,0.6110403739412873,9.872089962890975
0.9437532383207299,0.819934282584885,0.925833264297081,4.510898162820078,0.6201280285228101,0.4494773519163763,0.7256763884318859,8.180520905554312
