SRCC_train,KRCC_train,PLCC_train,RMSE_train,SRCC_test,KRCC_test,PLCC_test,RMSE_test
0.9898901315074569,0.9279408862486889,0.9920981497831692,0.08010654631496822,0.7182046665939358,0.524654338220766,0.7264383715813594,0.44397142195037465
0.9894870738158879,0.9246159656849425,0.9917319607591046,0.08199061588213281,0.7656565394887205,0.5673431979486065,0.7766022528509537,0.40847611578728366
0.9893646264536248,0.924921999229675,0.9918864079891355,0.08207592850125764,0.7695741292754676,0.5672616074445529,0.7686568328036596,0.39500248487220796
0.9889832454407501,0.9243712161666823,0.9915570623896776,0.0829710077437133,0.7585623321110627,0.5692276804749308,0.7628851869051863,0.4167872417016283
0.9895140486163081,0.9253445823388359,0.9918954505807456,0.08066275031037215,0.7471951900712404,0.5549551093347739,0.7701849433454099,0.4236393162687022
0.9896500724254289,0.9265025998378917,0.992048733047274,0.08096486333796328,0.730030213446386,0.5416656137144809,0.7376832988624151,0.42560318639255523
0.9885285043128706,0.9225458927367469,0.9914374198825016,0.08282537349555973,0.7522100001823823,0.5609639614580137,0.7482498576130012,0.4413055333581355
0.9892662593987614,0.9252065249671892,0.9917183898488198,0.08220736563346313,0.7867186249828092,0.5866374905895839,0.7708831198371986,0.4100918405837122
0.9899799458697018,0.9285169414407767,0.9922712491618462,0.07925753208612109,0.7106173775400655,0.5182118572206328,0.738918743946071,0.4370401565793145
0.9890821552597611,0.9239086258905881,0.9916206195228133,0.08236902464271308,0.7666037868476988,0.5599173095097748,0.766677015098228,0.41930288947337263
0.9894401531269841,0.9256778458340449,0.9919007349478115,0.08202980475631332,0.7558493621633614,0.5611842875252602,0.7631750480821737,0.3995432893334347
0.9891756498788884,0.924448420629307,0.9917162222147932,0.08254011763700947,0.7519782674871671,0.5527323133548985,0.7601636886833878,0.4114442270713261
0.9896426408090557,0.9277637580000807,0.9921800669955869,0.07883525719915839,0.8025903476274647,0.6002178273327348,0.7997960126303986,0.4029229837193325
0.9873341486347813,0.9174845541494588,0.9878884809383088,0.09977943191625833,0.7040610562900941,0.5066522915776123,0.6860273918087243,0.45895001576006306
0.9892983492708521,0.9242536653228499,0.9918257402428763,0.08244789229972826,0.7413541439286067,0.5473545046896132,0.7514603779597172,0.40847934997257324
0.9888983295517941,0.9238630794157883,0.9916364840053141,0.0820451191004653,0.7335663593506822,0.5429447866707094,0.7352168851096623,0.4479162273850204
0.9895398697918344,0.9251509784208398,0.9917147147537633,0.08286501371156656,0.7450452127094748,0.5509316298928344,0.7552828179751907,0.40859501321572256
0.9888927891482246,0.9230155244463295,0.9914988491874176,0.08357446619918724,0.7367647058698054,0.5459121060220914,0.7424145029228273,0.4241630581936133
0.9894131667978613,0.9243121225686404,0.9915914915582827,0.08253787499430845,0.7774842949592934,0.5796588545760119,0.7814495065031581,0.4071354986465598
