"video_shortname","Function_name",execution_count,exec_time_avg
"Animation_1080P-2fbe","loadFileYuv",0,NaN
"Animation_1080P-2fbe","progressbar",1,4.687500e-02
"Animation_1080P-2fbe","rapique_basic_extractor",1080,3.645833e-02
"Animation_1080P-2fbe","RAPIQUE_spatial_features",40,1.698828e+00
"Animation_1080P-2fbe","saveFileYuv",0,NaN
"Animation_1080P-2fff","calc_RAPIQUE_features",1,1.290938e+02
"Animation_1080P-2fff","calc_RAPIQUE_features/deep_learning",20,4.046875e-01
"Animation_1080P-2fff","calc_RAPIQUE_features/temporal NSS",20,1.589844e+00
"Animation_1080P-2fff","clipValue",60,6.979167e-02
"Animation_1080P-2fff","convertRGBToHSI",0,NaN
"Animation_1080P-2fff","convertRGBToLAB",40,3.800781e-01
"Animation_1080P-2fff","convertRGBToLMS",0,NaN
"Animation_1080P-2fff","convertRGBToYuv",0,NaN
"Animation_1080P-2fff","convertYuvToRgb",60,1.619792e-01
"Animation_1080P-2fff","gauDerivative",200,2.343750e-04
"Animation_1080P-2fff","loadFileYuv",0,NaN
"Animation_1080P-2fff","progressbar",1,0
"Animation_1080P-2fff","rapique_basic_extractor",1080,3.706597e-02
"Animation_1080P-2fff","RAPIQUE_spatial_features",40,1.744141e+00
"Animation_1080P-2fff","saveFileYuv",0,NaN
"Animation_1080P-3d67","calc_RAPIQUE_features",1,1.292812e+02
"Animation_1080P-3d67","calc_RAPIQUE_features/deep_learning",20,4.109375e-01
"Animation_1080P-3d67","calc_RAPIQUE_features/temporal NSS",20,1.580469e+00
"Animation_1080P-3d67","clipValue",60,7.265625e-02
"Animation_1080P-3d67","convertRGBToHSI",0,NaN
"Animation_1080P-3d67","convertRGBToLAB",40,3.902344e-01
"Animation_1080P-3d67","convertRGBToLMS",0,NaN
"Animation_1080P-3d67","convertRGBToYuv",0,NaN
"Animation_1080P-3d67","convertYuvToRgb",60,1.614583e-01
"Animation_1080P-3d67","gauDerivative",200,7.812500e-05
"Animation_1080P-3d67","loadFileYuv",0,NaN
"Animation_1080P-3d67","progressbar",1,0
"Animation_1080P-3d67","rapique_basic_extractor",1080,3.676215e-02
"Animation_1080P-3d67","RAPIQUE_spatial_features",40,1.733984e+00
"Animation_1080P-3d67","saveFileYuv",0,NaN
"Animation_1080P-3dbf","calc_RAPIQUE_features",1,1.302344e+02
"Animation_1080P-3dbf","calc_RAPIQUE_features/deep_learning",20,4.570312e-01
"Animation_1080P-3dbf","calc_RAPIQUE_features/temporal NSS",20,1.581250e+00
"Animation_1080P-3dbf","clipValue",60,6.744792e-02
"Animation_1080P-3dbf","convertRGBToHSI",0,NaN
"Animation_1080P-3dbf","convertRGBToLAB",40,3.769531e-01
"Animation_1080P-3dbf","convertRGBToLMS",0,NaN
"Animation_1080P-3dbf","convertRGBToYuv",0,NaN
"Animation_1080P-3dbf","convertYuvToRgb",60,1.554687e-01
"Animation_1080P-3dbf","gauDerivative",200,0
"Animation_1080P-3dbf","loadFileYuv",0,NaN
"Animation_1080P-3dbf","progressbar",1,0
"Animation_1080P-3dbf","rapique_basic_extractor",1080,3.657407e-02
"Animation_1080P-3dbf","RAPIQUE_spatial_features",40,1.749219e+00
"Animation_1080P-3dbf","saveFileYuv",0,NaN
"Animation_1080P-3e01","calc_RAPIQUE_features",1,1.327812e+02
"Animation_1080P-3e01","calc_RAPIQUE_features/deep_learning",20,3.960938e-01
"Animation_1080P-3e01","calc_RAPIQUE_features/temporal NSS",20,1.674219e+00
"Animation_1080P-3e01","clipValue",60,6.822917e-02
"Animation_1080P-3e01","convertRGBToHSI",0,NaN
"Animation_1080P-3e01","convertRGBToLAB",40,3.777344e-01
"Animation_1080P-3e01","convertRGBToLMS",0,NaN
"Animation_1080P-3e01","convertRGBToYuv",0,NaN
"Animation_1080P-3e01","convertYuvToRgb",60,1.541667e-01
"Animation_1080P-3e01","gauDerivative",200,7.812500e-05
"Animation_1080P-3e01","loadFileYuv",0,NaN
"Animation_1080P-3e01","progressbar",1,0
"Animation_1080P-3e01","rapique_basic_extractor",1080,3.815104e-02
"Animation_1080P-3e01","RAPIQUE_spatial_features",40,1.803516e+00
"Animation_1080P-3e01","saveFileYuv",0,NaN
"Animation_1080P-4214","calc_RAPIQUE_features",1,1.340312e+02
"Animation_1080P-4214","calc_RAPIQUE_features/deep_learning",20,3.945312e-01
"Animation_1080P-4214","calc_RAPIQUE_features/temporal NSS",20,1.629687e+00
"Animation_1080P-4214","clipValue",60,7.031250e-02
"Animation_1080P-4214","convertRGBToHSI",0,NaN
"Animation_1080P-4214","convertRGBToLAB",40,3.800781e-01
"Animation_1080P-4214","convertRGBToLMS",0,NaN
"Animation_1080P-4214","convertRGBToYuv",0,NaN
"Animation_1080P-4214","convertYuvToRgb",60,1.645833e-01
"Animation_1080P-4214","gauDerivative",200,0
"Animation_1080P-4214","loadFileYuv",0,NaN
"Animation_1080P-4214","progressbar",1,0
"Animation_1080P-4214","rapique_basic_extractor",1080,3.810764e-02
"Animation_1080P-4214","RAPIQUE_spatial_features",40,1.835938e+00
"Animation_1080P-4214","saveFileYuv",0,NaN
"Animation_1080P-4be3","calc_RAPIQUE_features",1,1.396094e+02
"Animation_1080P-4be3","calc_RAPIQUE_features/deep_learning",20,4.218750e-01
"Animation_1080P-4be3","calc_RAPIQUE_features/temporal NSS",20,1.693750e+00
"Animation_1080P-4be3","clipValue",60,7.213542e-02
"Animation_1080P-4be3","convertRGBToHSI",0,NaN
"Animation_1080P-4be3","convertRGBToLAB",40,3.941406e-01
"Animation_1080P-4be3","convertRGBToLMS",0,NaN
"Animation_1080P-4be3","convertRGBToYuv",0,NaN
"Animation_1080P-4be3","convertYuvToRgb",60,1.718750e-01
"Animation_1080P-4be3","gauDerivative",200,2.343750e-04
"Animation_1080P-4be3","loadFileYuv",0,NaN
"Animation_1080P-4be3","progressbar",1,0
"Animation_1080P-4be3","rapique_basic_extractor",1080,3.977141e-02
"Animation_1080P-4be3","RAPIQUE_spatial_features",40,1.904688e+00
"Animation_1080P-4be3","saveFileYuv",0,NaN
"Animation_1080P-4ea8","calc_RAPIQUE_features",1,1.320156e+02
"Animation_1080P-4ea8","calc_RAPIQUE_features/deep_learning",20,4.210937e-01
"Animation_1080P-4ea8","calc_RAPIQUE_features/temporal NSS",20,1.667969e+00
"Animation_1080P-4ea8","clipValue",60,6.432292e-02
"Animation_1080P-4ea8","convertRGBToHSI",0,NaN
"Animation_1080P-4ea8","convertRGBToLAB",40,3.324219e-01
"Animation_1080P-4ea8","convertRGBToLMS",0,NaN
"Animation_1080P-4ea8","convertRGBToYuv",0,NaN
"Animation_1080P-4ea8","convertYuvToRgb",60,1.825521e-01
"Animation_1080P-4ea8","gauDerivative",200,7.812500e-05
"Animation_1080P-4ea8","loadFileYuv",0,NaN
"Animation_1080P-4ea8","progressbar",1,0
"Animation_1080P-4ea8","rapique_basic_extractor",1080,3.514178e-02
"Animation_1080P-4ea8","RAPIQUE_spatial_features",40,1.712891e+00
"Animation_1080P-4ea8","saveFileYuv",0,NaN
"Animation_1080P-5083","calc_RAPIQUE_features",1,1.321094e+02
"Animation_1080P-5083","calc_RAPIQUE_features/deep_learning",20,3.921875e-01
"Animation_1080P-5083","calc_RAPIQUE_features/temporal NSS",20,1.575000e+00
"Animation_1080P-5083","clipValue",60,6.562500e-02
"Animation_1080P-5083","convertRGBToHSI",0,NaN
"Animation_1080P-5083","convertRGBToLAB",40,3.234375e-01
"Animation_1080P-5083","convertRGBToLMS",0,NaN
"Animation_1080P-5083","convertRGBToYuv",0,NaN
"Animation_1080P-5083","convertYuvToRgb",60,1.638021e-01
"Animation_1080P-5083","gauDerivative",200,7.812500e-05
"Animation_1080P-5083","loadFileYuv",0,NaN
"Animation_1080P-5083","progressbar",1,0
"Animation_1080P-5083","rapique_basic_extractor",1080,3.899016e-02
"Animation_1080P-5083","RAPIQUE_spatial_features",40,1.810938e+00
"Animation_1080P-5083","saveFileYuv",0,NaN
"Animation_1080P-58d3","calc_RAPIQUE_features",1,1.293438e+02
"Animation_1080P-58d3","calc_RAPIQUE_features/deep_learning",20,3.890625e-01
"Animation_1080P-58d3","calc_RAPIQUE_features/temporal NSS",20,1.625000e+00
"Animation_1080P-58d3","clipValue",60,7.213542e-02
"Animation_1080P-58d3","convertRGBToHSI",0,NaN
"Animation_1080P-58d3","convertRGBToLAB",40,3.378906e-01
"Animation_1080P-58d3","convertRGBToLMS",0,NaN
"Animation_1080P-58d3","convertRGBToYuv",0,NaN
"Animation_1080P-58d3","convertYuvToRgb",60,1.640625e-01
"Animation_1080P-58d3","gauDerivative",200,7.812500e-05
"Animation_1080P-58d3","loadFileYuv",0,NaN
"Animation_1080P-58d3","progressbar",1,0
"Animation_1080P-58d3","rapique_basic_extractor",1080,3.750000e-02
"Animation_1080P-58d3","RAPIQUE_spatial_features",40,1.732422e+00
"Animation_1080P-58d3","saveFileYuv",0,NaN
"Animation_1080P-5dd8","calc_RAPIQUE_features",1,1.258906e+02
"Animation_1080P-5dd8","calc_RAPIQUE_features/deep_learning",20,3.789062e-01
"Animation_1080P-5dd8","calc_RAPIQUE_features/temporal NSS",20,1.596875e+00
"Animation_1080P-5dd8","clipValue",60,6.744792e-02
