SRCC_train,KRCC_train,PLCC_train,RMSE_train,SRCC_test,KRCC_test,PLCC_test,RMSE_test
0.861332132787288,0.7113233837907919,0.8143815009583529,312.64343345946094,0.6840053215218548,0.5264652590957231,0.5887406071424086,361.07213475116805
0.9241228458859192,0.7977899052369061,0.8792303409547357,241.71459489402662,0.7031751793043076,0.5464224603261267,0.5959734251485055,455.3590806962469
0.8360713204250494,0.6768864393833444,0.7655216448807357,319.516478306078,0.6256921307474964,0.47865156290316757,0.4855554531026279,536.3611327722155
0.9744669955325822,0.8904983684697224,-0.9225794822691583,534.1784535538644,0.6756907861948348,0.5248620930255327,0.6346202445127131,365.25939815316104
0.9757696038830878,0.893251735892873,0.96979428848382,124.85186749369667,0.6908219016668983,0.5394618807368315,0.7651274303029754,361.44158948417305
0.9561891956225209,0.8551925242822986,0.9481610773309549,160.70632355387633,0.7044058793490978,0.5511649093182741,0.6701896481938701,430.92400311300446
0.8495895899095719,0.6947440789528588,0.7880508767692258,320.16640368775893,0.6829288432471012,0.5268562809110616,0.6452986461692612,407.47019676714103
0.9369022875178359,0.814467536745452,0.8676521834935582,249.74560361957336,0.5732866575682236,0.4290941545693757,0.5813277846454308,484.00118144079784
0.9754024409452111,0.8905292913769182,0.9562043613652638,154.03122303389628,0.6124253695776936,0.46599622103253535,0.6269169010072734,392.7473476274517
0.9767195939106161,0.8946410289813915,0.9716996041199504,123.38441837706252,0.6263479398702028,0.48566048591236444,0.6453472381898175,400.7468103407856
0.6953222892666605,0.5401695954857249,0.6597786328932828,396.25761358662743,0.45753312863734846,0.34135183757736404,0.3820139707607876,466.0028201755657
0.8771187680120115,0.7229497638930175,0.7879331510019455,328.67319883065596,0.4428410516115078,0.33262307654015855,0.3614587820632348,444.051703267898
0.9378753281805027,0.8184249680506643,0.8634568056657458,264.98914412017007,0.5981320184145885,0.45168298260893575,0.5592487669139876,424.6346841257535
0.9169378901065155,0.7858376879095603,0.8738184150838509,249.2386687478706,0.6748617373983002,0.5236457722572935,0.7135648300095515,393.3903183534914
0.833163100668624,0.674794413026693,0.7546655451507778,346.57838753009713,0.5770331103948826,0.4413500024246135,0.658182334413742,375.8119281133021
0.975716394833453,0.8917142481698688,0.7830136036176112,331.18125179941137,0.6625481420132505,0.5108957536412344,0.5445470928138503,400.82910364122586
0.9752518361990166,0.8908832114808458,0.9526467488329974,160.12021925388524,0.6465661129496069,0.49648897721283397,0.5935330633999369,408.0960266348485
0.961910105266887,0.8634769948203118,0.9484468481775068,161.09391855800584,0.6285938490038081,0.48781882165333756,0.6754749608635322,421.99853768111615
0.9621598471287531,0.8632477692490003,0.9474522681754709,161.9862620137532,0.7432428717532291,0.5796713168594549,0.5810660163464979,472.4572422252627
