SRCC_train,KRCC_train,PLCC_train,RMSE_train,SRCC_test,KRCC_test,PLCC_test,RMSE_test
0.9999554978711142,0.9979011533407748,0.9999928097050593,0.08363788044184747,0.8103607770582795,0.629972247918594,0.8292248724579392,10.401443074804465
0.9999302647370797,0.9970099476740844,0.9999918960089436,0.08551066430529924,0.8157955596669751,0.6151711378353377,0.8285972236864666,11.722654562022338
0.9999646735678134,0.998361174616949,0.9999942606443286,0.07260032370190406,0.7946345975948197,0.5855689176688252,0.8087115254982493,12.626323540830995
0.9978707795810602,0.9850205576078988,0.9974322255528244,1.5335276059877698,0.8758094357076781,0.6984273820536542,0.8671723368562697,10.720402049775942
0.9986144704340838,0.9894198148467598,0.9977529577521024,1.4340279538323424,0.7896623496762258,0.570767807585569,0.8430553272680034,11.44803175792379
0.9999518275924346,0.9976711427026878,0.9999919420301586,0.08566236544237238,0.8774283071230342,0.69472710453284,0.8819415741221686,9.843273132026862
0.8929338418505385,0.7215433716791543,0.8989041000574401,9.279781389734389,0.6477798334875117,0.4634597594819612,0.6914417855716823,16.01599277031298
0.9982671696784648,0.9865156267554647,0.9974532616264146,1.5477481202436283,0.8421600370027752,0.6521739130434784,0.8653347703568682,10.189153426824547
0.9999518275924346,0.9975561373836443,0.9999921820563663,0.08241354638508658,0.7857308048103608,0.5781683626271971,0.7986321150168748,14.226464924330344
0.998500232374624,0.9877806852649436,0.9976392547977941,1.4793737313219237,0.8648242368177613,0.7021276595744681,0.8846191976613612,9.504501855689949
0.9999426518957354,0.9970961161074702,0.9999920812858568,0.0857993883089643,0.732654949121184,0.5615171137835339,0.8165751892919938,11.95596096467187
0.9999724729225316,0.9985049738370423,0.9999936125243695,0.07663826877732623,0.8444393053744055,0.6311893318098278,0.8933915613591975,9.606568224916874
0.9999706377840336,0.9986199758495774,0.9999942377733984,0.07072575751461867,0.7246762257169287,0.5319148936170214,0.7767339650370682,14.553658155802703
0.9107278526310382,0.7498706227358979,0.9156217153357393,8.610378257944019,0.8367252543940795,0.6484736355226642,0.8421560111931407,11.615741651157578
0.9999701789858328,0.9984761799359926,0.9999925102613237,0.0814348265802836,0.8870259019426456,0.7224791859389454,0.9156516505242003,9.099185479193311
0.9999486161220589,0.9974699557242253,0.9999919105880027,0.08632049071500694,0.86840888066605,0.6817761332099909,0.8867677329276505,9.878435980252494
0.9999646735678134,0.9980161586598185,0.9999926435116294,0.08226641829554827,0.8279370952821462,0.6447733580018502,0.8135421594833643,12.437624976542363
0.8986728278383169,0.7298602725547698,0.8976357782499296,9.462917431763136,0.758441258094357,0.5430157261794636,0.8046130920794913,12.510741700639903
0.9626590434979503,0.8593197438933122,0.9585604150369295,6.16382206380417,0.8451665124884368,0.6725254394079557,0.8468741957519553,10.98441673482541
